id;party_id;canonical_name;slug;declaration_year;tax_year;valid_choices;pct_total_taxpayers;pct_valid_choices;amount;pct_amount;avg_amount_per_choice;rank_choices;rank_amount;rank_avg_amount;choices_delta_abs;choices_delta_pct;amount_delta_abs;amount_delta_pct;amount_vs_choices_share_gap;amount_vs_choices_rank_gap;source_id
1;1;"Partito Demo A";partito-demo-a;2020;2019;821.063;2,04754;30,25653;14.031.966,67;29,51619;17,09;1;1;4;;;;;-0,74034;0;1
6;2;"Partito Demo B";partito-demo-b;2020;2019;572.809;1,42845;21,10826;9.285.233,89;19,53145;16,21;2;3;6;;;;;-1,57681;1;1
11;3;"Partito Demo C";partito-demo-c;2020;2019;460.979;1,14957;16,98728;9.989.414,93;21,01269;21,67;3;2;2;;;;;4,02541;-1;1
16;4;"Partito Demo D";partito-demo-d;2020;2019;329.377;0,82139;12,13769;5.052.643,18;10,62821;15,34;4;4;7;;;;;-1,50948;0;1
21;5;"Partito Demo E";partito-demo-e;2020;2019;224.749;0,56047;8,28210;4.063.461,92;8,54748;18,08;5;5;3;;;;;0,26538;0;1
26;6;"Partito Demo F";partito-demo-f;2020;2019;146.992;0,36656;5,41672;1.724.216,16;3,62688;11,73;6;7;8;;;;;-1,78984;1;1
31;7;"Partito Demo G";partito-demo-g;2020;2019;108.981;0,27177;4,01600;2.563.233,12;5,39175;23,52;7;6;1;;;;;1,37575;-1;1
36;8;"Partito Demo H";partito-demo-h;2020;2019;48.722;0,12150;1,79543;829.735,66;1,74535;17,03;8;8;5;;;;;-0,05008;0;1
2;1;"Partito Demo A";partito-demo-a;2021;2020;783.505;1,94418;30,18730;13.852.368,40;30,59440;17,68;1;1;4;-37.558;-4,57;-179.598,27;-1,28;0,40710;0;1
7;2;"Partito Demo B";partito-demo-b;2021;2020;508.175;1,26098;19,57924;7.836.058,50;17,30675;15,42;2;3;7;-64.634;-11,28;-1.449.175,39;-15,61;-2,27249;1;1
12;3;"Partito Demo C";partito-demo-c;2021;2020;448.010;1,11169;17,26117;8.888.518,40;19,63122;19,84;3;2;2;-12.969;-2,81;-1.100.896,53;-11,02;2,37005;-1;1
17;4;"Partito Demo D";partito-demo-d;2021;2020;337.539;0,83757;13,00488;5.373.620,88;11,86820;15,92;4;4;5;8.162;2,48;320.977,70;6,35;-1,13668;0;1
22;5;"Partito Demo E";partito-demo-e;2021;2020;211.608;0,52508;8,15295;3.986.694,72;8,80503;18,84;5;5;3;-13.141;-5,85;-76.767,20;-1,89;0,65208;0;1
27;6;"Partito Demo F";partito-demo-f;2021;2020;139.948;0,34727;5,39199;1.841.715,68;4,06762;13,16;6;7;8;-7.044;-4,79;117.499,52;6,81;-1,32437;1;1
32;7;"Partito Demo G";partito-demo-g;2021;2020;112.291;0,27864;4,32641;2.659.050,88;5,87279;23,68;7;6;1;3.310;3,04;95.817,76;3,74;1,54638;-1;1
37;8;"Partito Demo H";partito-demo-h;2021;2020;54.403;0,13500;2,09607;839.438,29;1,85399;15,43;8;8;6;5.681;11,66;9.702,63;1,17;-0,24208;0;1
3;1;"Partito Demo A";partito-demo-a;2022;2021;845.282;2,08712;30,81040;16.077.263,64;32,47788;19,02;1;1;3;61.777;7,88;2.224.895,24;16,06;1,66748;0;1
8;2;"Partito Demo B";partito-demo-b;2022;2021;536.362;1,32435;19,55031;8.753.427,84;17,68291;16,32;2;3;5;28.187;5,55;917.369,34;11,71;-1,86740;1;1
13;3;"Partito Demo C";partito-demo-c;2022;2021;510.035;1,25935;18,59070;10.430.215,75;21,07021;20,45;3;2;2;62.025;13,84;1.541.697,35;17,34;2,47951;-1;1
18;4;"Partito Demo D";partito-demo-d;2022;2021;331.532;0,81860;12,08429;4.946.457,44;9,99240;14,92;4;4;7;-6.007;-1,78;-427.163,44;-7,95;-2,09189;0;1
23;5;"Partito Demo E";partito-demo-e;2022;2021;190.773;0,47104;6,95365;3.561.731,91;7,19510;18,67;5;5;4;-20.835;-9,85;-424.962,81;-10,66;0,24145;0;1
28;6;"Partito Demo F";partito-demo-f;2022;2021;147.640;0,36454;5,38145;1.846.976,40;3,73110;12,51;6;7;8;7.692;5,50;5.260,72;0,29;-1,65035;1;1
33;7;"Partito Demo G";partito-demo-g;2022;2021;124.370;0,30709;4,53327;2.987.367,40;6,03482;24,02;7;6;1;12.079;10,76;328.316,52;12,35;1,50155;-1;1
38;8;"Partito Demo H";partito-demo-h;2022;2021;57.502;0,14198;2,09594;898.756,26;1,81559;15,63;8;8;6;3.099;5,70;59.317,97;7,07;-0,28035;0;1
4;1;"Partito Demo A";partito-demo-a;2023;2022;947.466;2,32222;34,19535;16.372.212,48;34,28567;17,28;1;1;4;102.184;12,09;294.948,84;1,83;0,09032;0;1
9;2;"Partito Demo B";partito-demo-b;2023;2022;503.922;1,23510;18,18724;8.279.438,46;17,33829;16,43;2;3;5;-32.440;-6,05;-473.989,38;-5,41;-0,84895;1;1
14;3;"Partito Demo C";partito-demo-c;2023;2022;461.602;1,13138;16,65985;9.065.863,28;18,98517;19,64;3;2;2;-48.433;-9,50;-1.364.352,47;-13,08;2,32532;-1;1
19;4;"Partito Demo D";partito-demo-d;2023;2022;365.991;0,89704;13,20912;5.519.144,28;11,55785;15,08;4;4;7;34.459;10,39;572.686,84;11,58;-1,65127;0;1
24;5;"Partito Demo E";partito-demo-e;2023;2022;173.082;0,42422;6,24677;3.255.672,42;6,81783;18,81;5;5;3;-17.691;-9,27;-306.059,49;-8,59;0,57106;0;1
