official_name,declaration_year,tax_year,code
Centro Democratico,2015,2014,A10
Die Freiheitlichen,2015,2014,B11
Fratelli d’Italia – Alleanza Nazionale,2015,2014,C12
Lega Nord per l’Indipendenza della Padania,2015,2014,D13
Movimento Associativo Italiani all’Estero – MAIE,2015,2014,E14
Movimento Politico Forza Italia,2015,2014,F15
Movimento Stella Alpina,2015,2014,G16
Nuovo Centrodestra,2015,2014,H17
PATT - Partito Autonomista Trentino Tirolese,2015,2014,K18
Partito della Rifondazione Comunista – Sinistra Europea,2015,2014,L19
Partito Democratico,2015,2014,M20
Partito Liberale Italiano,2015,2014,N21
Partito Socialista Italiano,2015,2014,R22
Popolari per l’Italia,2015,2014,S23
Scelta Civica,2015,2014,T24
Sinistra Ecologia Libertà,2015,2014,U25
SVP - Südtiroler Volkspartei,2015,2014,W26
Union Valdôtaine,2015,2014,Y27
Unione per il Trentino,2015,2014,Z28
