party_name,declaration_year,tax_year,valid_choices,amount
Azione,2024,2023,53639,1289706.0
Campobase,2024,2023,2021,23189.0
Centro Democratico,2024,2023,13855,180713.0
Coraggio Italia,2024,2023,2525,24811.0
Democrazia Solidale - DemoS,2024,2023,3654,51451.0
Europa Verde-Verdi,2024,2023,133725,1490932.0
Fratelli d'Italia - Alleanza Nazionale,2024,2023,382457,5658481.0
Italia dei Valori,2024,2023,4325,58197.0
Italia Viva,2024,2023,55814,1116947.0
Lega Nord per l'Indipendenza della Padania,2024,2023,38531,463974.0
Lega per Salvini Premier,2024,2023,90494,1156933.0
L'Italia c'e'!,2024,2023,1103,9910.0
Movimento Associativo Italiani all'Estero - MAIE,2024,2023,6873,72765.0
Movimento Cinque Stelle,2024,2023,239240,2739399.0
Movimento politico Forza Italia,2024,2023,45353,807483.0
Noi Moderati,2024,2023,13045,157129.0
Partito Autonomista Trentino Tirolese,2024,2023,5119,59610.0
Partito Democratico,2024,2023,628782,10286158.0
Partito Socialista Italiano,2024,2023,17803,200799.0
Piu' Europa,2024,2023,57220,821527.0
Possibile,2024,2023,24153,265258.0
Radicali Italiani,2024,2023,25429,403957.0
Sinistra Italiana,2024,2023,112391,1422458.0
Stella Alpina,2024,2023,6172,62679.0
Sud chiama Nord,2024,2023,44403,271115.0
Sudtiroler Volkspartei,2024,2023,22207,444943.0
UDC - Unione di centro,2024,2023,2368,33102.0
Unione Sudamericana Emigrati Italiani,2024,2023,14160,132552.0
Union Valdotaine,2024,2023,6787,84353.0
