party_name,region,declaration_year,tax_year,valid_choices,is_suppressed
Alternativa Popolare,Piemonte,2018,2017,162,0
Articolo 1 Movimento Democratico e Progressista,Piemonte,2018,2017,2667,0
Centro Democratico,Piemonte,2018,2017,968,0
Democrazia Solidale - Demo. S,Piemonte,2018,2017,103,0
Energie per l'Italia,Piemonte,2018,2017,643,0
Federazione dei Verdi,Piemonte,2018,2017,1901,0
Fratelli d'Italia,Piemonte,2018,2017,3387,0
Idea Identita' e Azione,Piemonte,2018,2017,78,0
Italia dei Valori,Piemonte,2018,2017,446,0
Lega Nord per l'Indipendenza della Padania,Piemonte,2018,2017,7000,0
Lega per Salvini Premier,Piemonte,2018,2017,18434,0
Movimento Associativo Italiani all'Estero,Piemonte,2018,2017,433,0
Movimento La Puglia in Piu',Piemonte,2018,2017,487,0
Movimento politico Forza Italia,Piemonte,2018,2017,2519,0
Partito Autonomista Trentino Tirolese,Piemonte,2018,2017,143,0
Partito della Rifondazione Comunista,Piemonte,2018,2017,6162,0
Partito Democratico,Piemonte,2018,2017,43657,0
Partito Socialista Italiano,Piemonte,2018,2017,571,0
Popolari per l'Italia,Piemonte,2018,2017,107,0
Possibile,Piemonte,2018,2017,1127,0
Scelta Civica,Piemonte,2018,2017,1109,0
Sinistra Italiana,Piemonte,2018,2017,2543,0
Stella Alpina,Piemonte,2018,2017,329,0
Sudtiroler Volkspartei,Piemonte,2018,2017,308,0
Union Valdotaine,Piemonte,2018,2017,446,0
Unione di Centro,Piemonte,2018,2017,110,0
Unione per il Trentino,Piemonte,2018,2017,210,0
Alternativa Popolare,Valle d'Aosta,2018,2017,,1
Articolo 1 Movimento Democratico e Progressista,Valle d'Aosta,2018,2017,,1
Centro Democratico,Valle d'Aosta,2018,2017,,1
Democrazia Solidale - Demo. S,Valle d'Aosta,2018,2017,0,0
Energie per l'Italia,Valle d'Aosta,2018,2017,18,0
Federazione dei Verdi,Valle d'Aosta,2018,2017,57,0
Fratelli d'Italia,Valle d'Aosta,2018,2017,78,0
Idea Identita' e Azione,Valle d'Aosta,2018,2017,,1
Italia dei Valori,Valle d'Aosta,2018,2017,12,0
Lega Nord per l'Indipendenza della Padania,Valle d'Aosta,2018,2017,250,0
Lega per Salvini Premier,Valle d'Aosta,2018,2017,518,0
Movimento Associativo Italiani all'Estero,Valle d'Aosta,2018,2017,12,0
Movimento La Puglia in Piu',Valle d'Aosta,2018,2017,18,0
Movimento politico Forza Italia,Valle d'Aosta,2018,2017,42,0
Partito Autonomista Trentino Tirolese,Valle d'Aosta,2018,2017,13,0
Partito della Rifondazione Comunista,Valle d'Aosta,2018,2017,144,0
Partito Democratico,Valle d'Aosta,2018,2017,778,0
Partito Socialista Italiano,Valle d'Aosta,2018,2017,17,0
Popolari per l'Italia,Valle d'Aosta,2018,2017,,1
Possibile,Valle d'Aosta,2018,2017,39,0
Scelta Civica,Valle d'Aosta,2018,2017,130,0
Sinistra Italiana,Valle d'Aosta,2018,2017,,1
Stella Alpina,Valle d'Aosta,2018,2017,223,0
Sudtiroler Volkspartei,Valle d'Aosta,2018,2017,27,0
Union Valdotaine,Valle d'Aosta,2018,2017,1220,0
Unione di Centro,Valle d'Aosta,2018,2017,,1
Unione per il Trentino,Valle d'Aosta,2018,2017,,1
Alternativa Popolare,Lombardia,2018,2017,590,0
Articolo 1 Movimento Democratico e Progressista,Lombardia,2018,2017,4582,0
Centro Democratico,Lombardia,2018,2017,2144,0
Democrazia Solidale - Demo. S,Lombardia,2018,2017,196,0
Energie per l'Italia,Lombardia,2018,2017,1655,0
Federazione dei Verdi,Lombardia,2018,2017,5241,0
Fratelli d'Italia,Lombardia,2018,2017,8126,0
Idea Identita' e Azione,Lombardia,2018,2017,171,0
Italia dei Valori,Lombardia,2018,2017,829,0
Lega Nord per l'Indipendenza della Padania,Lombardia,2018,2017,32218,0
Lega per Salvini Premier,Lombardia,2018,2017,56945,0
Movimento Associativo Italiani all'Estero,Lombardia,2018,2017,957,0
Movimento La Puglia in Piu',Lombardia,2018,2017,987,0
Movimento politico Forza Italia,Lombardia,2018,2017,8840,0
Partito Autonomista Trentino Tirolese,Lombardia,2018,2017,386,0
