party_slug,declaration_year,tax_year,valid_choices,amount,source_id
partito-demo-a,2020,2019,821063,14031966.67,1
partito-demo-b,2020,2019,572809,9285233.89,1
partito-demo-c,2020,2019,460979,9989414.93,1
partito-demo-d,2020,2019,329377,5052643.18,1
partito-demo-e,2020,2019,224749,4063461.92,1
partito-demo-f,2020,2019,146992,1724216.16,1
partito-demo-g,2020,2019,108981,2563233.12,1
partito-demo-h,2020,2019,48722,829735.66,1
partito-demo-a,2021,2020,783505,13852368.40,1
partito-demo-b,2021,2020,508175,7836058.50,1
partito-demo-c,2021,2020,448010,8888518.40,1
partito-demo-d,2021,2020,337539,5373620.88,1
partito-demo-e,2021,2020,211608,3986694.72,1
partito-demo-f,2021,2020,139948,1841715.68,1
partito-demo-g,2021,2020,112291,2659050.88,1
partito-demo-h,2021,2020,54403,839438.29,1
partito-demo-a,2022,2021,845282,16077263.64,1
partito-demo-b,2022,2021,536362,8753427.84,1
partito-demo-c,2022,2021,510035,10430215.75,1
partito-demo-d,2022,2021,331532,4946457.44,1
partito-demo-e,2022,2021,190773,3561731.91,1
partito-demo-f,2022,2021,147640,1846976.40,1
partito-demo-g,2022,2021,124370,2987367.40,1
partito-demo-h,2022,2021,57502,898756.26,1
partito-demo-a,2023,2022,947466,16372212.48,1
partito-demo-b,2023,2022,503922,8279438.46,1
partito-demo-c,2023,2022,461602,9065863.28,1
partito-demo-d,2023,2022,365991,5519144.28,1
partito-demo-e,2023,2022,173082,3255672.42,1
partito-demo-f,2023,2022,136745,1743498.75,1
partito-demo-g,2023,2022,117137,2492675.36,1
partito-demo-h,2023,2022,64800,1023840.00,1
partito-demo-a,2024,2023,941704,16112555.44,1
partito-demo-b,2024,2023,553581,8259428.52,1
partito-demo-c,2024,2023,511835,10927677.25,1
partito-demo-d,2024,2023,407223,6100200.54,1
partito-demo-e,2024,2023,182019,3472922.52,1
partito-demo-f,2024,2023,126368,1523998.08,1
partito-demo-g,2024,2023,113057,2504212.55,1
partito-demo-h,2024,2023,61658,940901.08,1
