party_slug,alias_name,year_from,year_to,source,notes
azione,Azione (gia' Siamo Europei),2020,2020,merge_parties.py,Unito da partito duplicato #164 (slug: azione-gia-siamo-europei)
azione,Azione (gia' Siamo Europei),2020,2020,merge_parties.py,Unito da partito duplicato #210 (slug: azione-gia-siamo-europei)
democrazia-solidale-demos,Democrazia Solidale - Demo. S,2018,2025,merge_parties.py,Unito da partito duplicato #157 (slug: democrazia-solidale-demo-s)
democrazia-solidale-demos,Democrazia Solidale - Demo. S,2018,2025,merge_parties.py,Unito da partito duplicato #208 (slug: democrazia-solidale-demo-s)
europa-verde-verdi,Federazione dei verdi,2016,2021,merge_parties.py,Unito da partito duplicato #140 (slug: federazione-dei-verdi)
europa-verde-verdi,Federazione dei verdi,2016,2021,merge_parties.py,Unito da partito duplicato #203 (slug: federazione-dei-verdi)
fratelli-d-italia-alleanza-nazionale,Fratelli d'Italia,2018,2018,merge_parties.py,Unito da partito duplicato #159 (slug: fratelli-d-italia)
fratelli-d-italia-alleanza-nazionale,Fratelli d'Italia,2018,2018,merge_parties.py,Unito da partito duplicato #209 (slug: fratelli-d-italia)
fratelli-d-italia-alleanza-nazionale,Fratelli d'ltalia - Alleanza Nazionale,2020,2020,merge_parties.py,Unito da partito duplicato #165 (slug: fratelli-d-ltalia-alleanza-nazionale)
fratelli-d-italia-alleanza-nazionale,Fratelli d'ltalia - Alleanza Nazionale,2020,2020,merge_parties.py,Unito da partito duplicato #211 (slug: fratelli-d-ltalia-alleanza-nazionale)
idea-identita-e-azione-popolo-e-liberta,DEA - Identita' e Azione - popolo e liberta',,,add_party_alias.py,
idea-identita-e-azione-popolo-e-liberta,Idea Identita' e Azione,2017,2020,merge_parties.py,Unito da partito duplicato #151 (slug: idea-identita-e-azione)
idea-identita-e-azione-popolo-e-liberta,Idea Identita' e Azione,2017,2020,merge_parties.py,Unito da partito duplicato #207 (slug: idea-identita-e-azione)
lega-nord-per-l-indipendenza-della-padania,Lega Nord per l'Indipendenza,,,add_party_alias.py,
movimento-associativo-italiani-all-estero,Movimento Associativo Italiani all'Estero - MAIE,2014,2025,merge_parties.py,Unito da partito duplicato #125 (slug: movimento-associativo-italiani-all-estero-maie)
movimento-associativo-italiani-all-estero,Movimento Associativo Italiani all'Estero - MAIE,2015,2025,merge_parties.py,Unito da partito duplicato #200 (slug: movimento-associativo-italiani-all-estero-maie)
noi-moderati,Noi con L'Italia,2021,2023,merge_parties.py,Unito da partito duplicato #172 (slug: noi-con-l-italia)
noi-moderati,Noi con L'Italia,2021,2023,merge_parties.py,Unito da partito duplicato #212 (slug: noi-con-l-italia)
nuovo-centro-destra,Nuovo Centrodestra,2014,2020,merge_parties.py,Unito da partito duplicato #144 (slug: nuovo-centrodestra)
nuovo-centro-destra,Nuovo Centrodestra,2015,2020,merge_parties.py,Unito da partito duplicato #204 (slug: nuovo-centrodestra)
partito-autonomista-trentino-tirolese,Partito Autonomista Trentino Titolese,,,add_party_alias.py,
partito-autonomista-trentino-tirolese,PATT - Partito Autonomista Trentino Tirolese,2014,2015,merge_parties.py,Unito da partito duplicato #129 (slug: patt-partito-autonomista-trentino-tirolese)
partito-autonomista-trentino-tirolese,PATT - Partito Autonomista Trentino Tirolese,2015,2015,merge_parties.py,Unito da partito duplicato #201 (slug: patt-partito-autonomista-trentino-tirolese)
partito-autonomista-trentino-tirolese,PATT - Partito Autonomista Trentino Tirolese,2015,2015,merge_parties.py,Unito da partito duplicato #213 (slug: patt-partito-autonomista-trentino-tirolese)
sinistra-ecologia-liberta,Sinistra Ecologia e Liberta',2016,2016,merge_parties.py,Unito da partito duplicato #146 (slug: sinistra-ecologia-e-liberta)
sinistra-ecologia-liberta,Sinistra Ecologia e Liberta',2016,2016,merge_parties.py,Unito da partito duplicato #205 (slug: sinistra-ecologia-e-liberta)
sudtiroler-volkspartei,SVP - Sudtiroler Volkspartei,2014,2015,merge_parties.py,Unito da partito duplicato #137 (slug: svp-sudtiroler-volkspartei)
sudtiroler-volkspartei,SVP - Sudtiroler Volkspartei,2015,2015,merge_parties.py,Unito da partito duplicato #202 (slug: svp-sudtiroler-volkspartei)
udc-unione-di-centro,Unione di Centro,2016,2020,merge_parties.py,Unito da partito duplicato #148 (slug: unione-di-centro)
udc-unione-di-centro,Unione di Centro,2016,2020,merge_parties.py,Unito da partito duplicato #206 (slug: unione-di-centro)
